lit_id,title,year,author,doi,document_type,purpose,data_collection,modeling,adaptive_management,sediment_characteristic,sediment_source,covered_topics_ecohydrology,covered_topics_ecohydraulics,covered_topics_ecological_systems,covered_topics_future_conditions,risk_and_uncertainty,special_cases,geography,sustainable_sediment_management,land_use,channel_type,site_names,longitude,latitude
L0112,Sediment concentration versus water discharge during single hydrologic events in rivers,1989,"Williams, GP",https://doi.org/10.1016/0022-1694(89)90254-0,Journal Article,Analysis,"Water Quality,Sediment,Hydraulics","Frequency Analysis,Regression",Flood risk,Suspended,Suspended,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Flood,Not Applicable,USA,Sediment release,Not Applicable,Not Applicable,"Cottonwood Creek,Potomac River,Iroquois River,Kankakee River,Eel River,Yadkin River,Flynn Creek,Tradewater River,Muddy Creek,Animas River,Oak Creek",5.6843418860808e-14,5.6843418860808e-14
L0113,A Conceptual framework for shear flow-induced erosion of soft cohesive sediment beds,2012,"Winterwerp, JC, van Kesteren, WG, van Prooijen, B, Jacobs, W",https://doi.org/10.1029/2012JC008072,Journal Article,Analysis,"Sediment,Hydraulics","Sediment Transport Modeling,Frequency Analysis,Regression",Not Applicable,"Cohesive,Clay",Erosion,Yes,Yes,Yes,Not Applicable,Not Applicable,Not Applicable,The Netherlands,Sediment release,Not Applicable,Cohesive channels,"Lake Ketelmeer,Ijmuiden Harbor,Kembs Reservoir",5.6843418860808e-14,5.6843418860808e-14
L0114,"Predicting rainfall erosion losses, A Guide to Conservation Planning",1978,"Wischmeier, H, Smith, DD",https://www.google.com/books/edition/Predicting_Rainfall_Erosion_Losses/rRAUAAAAYAAJ?hl=en&gbpv=1&pg=PA5&printsec=frontcover,Government Report,"Planning,Reporting,Analysis","Sediment,Hydraulics",Regression,Watershed planning,Suspended,Erosion,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,"Eastern USA,Midwestern USA,Hawaii",Land Management,Agriculture,Not Applicable,"USA (east of Rocky Mountains),Hawaii",5.6843418860808e-14,5.6843418860808e-14
L0115,Magnitude and frequency of forces in geomorphic processes,1960,"Wolman, MG, Miller, JP",https://doi.org/10.1086/626637,Journal Article,"Reporting,Analysis","Water Quality,Sediment,Hydraulics","Frequency Analysis,Regression",Watershed planning,"Suspended,Bedload","Bank Erosion,Erosion",Not Applicable,Not Applicable,Not Applicable,Not Applicable,Flood,Not Applicable,USA,"Sediment release,Land Management",Not Applicable,"Alluvial fans,Meandering rivers","Rio Puerco,Brandywine Creek,Colorado River,Cheyenne River,Niobrara River,Rio Grande,San Juan River,Bighorn River,Shoshone River,Wind River,Saline River,Iowa River,White River,Moreau River,Cedar River,Columbia River",5.6843418860808e-14,5.6843418860808e-14
L0116,The North American Regional Climate Change Assessment Program Dataset,2007,"Mearns, LO, et al.,",https://doi.org/10.5065/D6RN35ST,Dataset,"Planning,Reporting",Hydraulics,Not Applicable,Flood risk,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Yes,"Flood,drought","Wildfire,Ice","USA,CaNot Applicableda",Not Applicable,Not Applicable,Not Applicable,"United States,Canada",5.6843418860808e-14,5.6843418860808e-14
L0117,Evaluation of Deposition Pattern of Wonogiri Reservoir Sedimentation,2015,"Wulandari, D.A., Legano, D., Darsono, S.",,Journal Article,"Planning,Reporting,Analysis","Sediment,Elevation,Storage",Not Applicable,Maintenance,Not Applicable,Reservoir Pool,Not Applicable,Not Applicable,Not Applicable,Yes,"Flood,Adaptive MaNot Applicablegement",Not Applicable,Indonesia,Deposition Control,Not Applicable,Not Applicable,Indonesia,5.6843418860808e-14,5.6843418860808e-14
L0118,Channel Stability Assessment for Flood Control Projects,1994,USACE,https://www.publications.usace.army.mil/portals/76/publications/engineermanuals/em_1110-2-1418.pdf,Design Manual,"Planning,Design,Maintenance,Reporting","Bathymetry,Sediment,Hydraulics",Regression,"Flood risk,Economics,Maintenance","Cohesive,Gravel,Sand,Suspended,Silt,Clay","Bank Erosion,Suspended,Erosion",Not Applicable,Not Applicable,Not Applicable,Yes,Flood,Not Applicable,USA,"Sediment release,Deposition control",Upland,"Meandering rivers,Braided rivers","Twenty Mile Creek/Tombigbee River,Puerco River,Grapevine Spillway/Denton Creek,Snake River,Sardis Dam/Little Tallahatchie River/Yazoo River,Red River/Atchafalaya River,Shasta Dam/Sacramento River,Enid Dam/Long Creek/Yocona River,Tanana River/Yukon River",5.6843418860808e-14,5.6843418860808e-14
L0119,Review of the U.S. Army Corps of Engineers Involvement with Alluvial Fan Flooding Problems,1988,USACE,https://www.hec.usace.army.mil/publications/TechnicalPapers/TP-124.pdf,USACE Report,"Planning,Reporting","Bathymetry,Public Participation",Not Applicable,Flood Risk,Not Applicable,"Debris,Erosion",Not Applicable,Not Applicable,Not Applicable,Not Applicable,Flood,"Debris flow,Landslide",Western USA,"Sediment Release,Land Management,Deposition Control",Not Applicable,Alluvial fans,"Magnesia Spring Creek,Rudd Creek/Wasatch Mountains,Centerville Canyon/Wasatch Mountains,Stone and Holbrook Creek/Wasatch Mountains",5.6843418860808e-14,5.6843418860808e-14
L0120,"The channels and waters of the upper Salmon River, Idaho",1975,"Emmett, WW",https://pubs.usgs.gov/pp/0870a/report.pdf,Government Report,"Reporting,Analysis","Bathymetry,Water Quality,Hydraulics","Hydraulic Equations,Frequency Analysis,Regression",Watershed planning,Not Applicable,Suspended,Yes,Yes,Yes,Not Applicable,Not Applicable,Not Applicable,Idaho,Land Management,Forestry,Mountain Torrents,Upper Salmon River,5.6843418860808e-14,5.6843418860808e-14
L0121,"A Northern Rocky Mountain polygon fire history: Accuracy, limitations, strengths, applications, and recommended protocol of digital fire perimeter data",2006,"Gibson, CE",https://alliance-uidaho.primo.exlibrisgroup.com/permalink/01ALLIANCE_UID/2vsn7u/alma99138264601851,Thesis,"Planning,Reporting",Ecological,Ecological Modeling,Watershed planning,Not Applicable,Not Applicable,Yes,Yes,Yes,Yes,Not Applicable,Wildfire,"Northern Rocky Mountains, USA",Land Management,Forestry,Mountain Torrents,"Bitterroot National Forest,Boise National Forest,Caribou-Targhee National Forest,Clearwater National Forest,Flathead National Forest,Glacier National Park,Idaho Panhandle National Forest",5.6843418860808e-14,5.6843418860808e-14
L0122,Atlas of digital polygon fire extents for Idaho and western Montana (1889-2003),2009,"Gibson, CE, Morgan, P",https://doi.org/10.2737/RDS-2009-0006,Dataset,"Planning,Reporting",Ecological,Ecological Modeling,Watershed planning,Not Applicable,Not Applicable,Yes,Yes,Yes,Yes,Not Applicable,Wildfire,"Northern Rocky Mountains, USA",Land Management,Forestry,Mountain Torrents,"Idaho,Western Montana",5.6843418860808e-14,5.6843418860808e-14
L0123,Mobile Bed Modeling of the Cowlitz River Using HEC-RAS: Assessing Flood Risk and Impact Due to System Sediment,2010,"Gibson, S, Nygaard, C, Dickerson, P",https://search.lib.byu.edu/byu/record/cat.6664370.item.31197237716094,Conference Paper,Analysis,"Bathymetry,Sediment,Hydraulics",Sediment Transport Modeling,Flood risk,Bedload,Erosion,Not Applicable,Not Applicable,Not Applicable,Yes,Flood,Not Applicable,Oregon,"Sediment release,Deposition control",Not Applicable,Mountain Torrents,Cowlitz River,5.6843418860808e-14,5.6843418860808e-14
L0124,Downstream Coarsening on the Missouri River,2016,"Gibson, S, Shelley, J, Cai, C",https://www.researchgate.net/profile/Stanford-Gibson/publication/311507977_Downstream_coarsening_on_the_Missouri_river/links/5a5cd795a6fdcc68fa96e526/Downstream-coarsening-on-the-Missouri-river.pdf,Conference Paper,"Reporting,Analysis","Bathymetry,Sediment,Hydraulics",Frequency Analysis,Not Applicable,Sand,"Suspended,Erosion",Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,"MontaNot Applicable,Kansas,Missouri","Sediment release,Deposition control","Multi-use,Agriculture",Regulated rivers,"Missouri River at Mississippi River,Missouri River at Osage River,Missouri River at Grand River,Missouri River at Kansas River",5.6843418860808e-14,5.6843418860808e-14
L0125,Missouri River Temperature Effects in Transition from Dunes to Plane Bed,1976,USACE,,,,,,,,,,,,,,,,Not Applicable,,,Missouri River Geomorphology,5.6843418860808e-14,5.6843418860808e-14
L0126,Review of the Regulation of the Missouri River Mainstem Reservoir System During the Flood of 2011,2012,"Grigg, N, McCarthy, C, Lawrence, B, Ockerman, D",https://www.nwd-mr.usace.army.mil/rcc/reports/pdfs/MRIndependentReviewPanel.pdf,USACE Report,"Planning,Operations,Reporting,Analysis","Public Participation,Hydraulics","Hydraulic Modeling,Frequency Analysis","Flood risk,watershed planning,Operations",Suspended,Emergency Spillway,Not Applicable,Not Applicable,Not Applicable,Yes,"Flood,Structure failure",Not Applicable,"MontaNot Applicable,North Dakota,South Dakota,Nebraska,Iowa,Kansas,Missouri",Flood diversion,"Urban,Agriculture",Regulated rivers,"Missouri River from Fort Peck Dam to Lake Sakakawea,Missouri River from Garrison Dam to Oahe Dam,Missouri River from Oahe Dam to Lake Sharpe,Missouri River from Fort Randall Dam to Lewis and Clark Lake",5.6843418860808e-14,5.6843418860808e-14
L0127,Old River Control Complex sedimentation investigation,2015,"Heath, RE, Brown, GL, Little, CD, Pratt, TC, Ratcliff, JJ, Abraham, DD, Perkey, D, Ganesh, NB, Martin, K, May, DP",https://hdl.handle.net/11681/7729,ERDC TN,"Operations,Reporting,Analysis","Bathymetry,Sediment,Hydraulics","Hydraulic Modeling,Laboratory Analysis,Sediment Transport Modeling,Frequency Analysis,Regression",Operations,"Suspended,Bedload",Emergency Spillway,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Flood,Not Applicable,"LouisiaNot Applicable,Mississippi","Sediment release,Flood diversion,Deposition control",Wetlands,"Regulated rivers,Deltas",Old River Control Complex (ORCC),5.6843418860808e-14,5.6843418860808e-14
L0128,"Hydrodynamic Conditions in the Black River Delta/Lake Onalaska Area, Pool 7, Upper Mississippi River 1980-81 and 1991-92",1994,"Hendrickson, JS, Haase, FR",https://apps.dtic.mil/sti/citations/ADA301631,USACE Report,"Operations,Reporting,Analysis","Bathymetry,Sediment,Hydraulics","Hydraulic Modeling,Frequency Analysis,Regression","Flood risk,Operations","Sand,Suspended,Bedload","Suspended,Erosion",Not Applicable,Not Applicable,Not Applicable,Not Applicable,Flood,Not Applicable,Minnesota,"Flood diversion,Deposition control",Island,Deltas,Lake Onalaska Area/Black River Delta,5.6843418860808e-14,5.6843418860808e-14
L0129,"South Fork Tillatoba Creek drop structures, Mississippi; Hydraulic model investigation",1982,"Hite, JW, Pickering, GA",https://hdl.handle.net/11681/13455,ERDC TN,"Construction,Design","Bathymetry,Hydraulics",Laboratory Analysis,Flood risk,Rock,Plunge Pool,Not Applicable,Not Applicable,Not Applicable,Not Applicable,"Flood,Structure failure",Not Applicable,Mississippi,Flood diversion,"Forestry,Agriculture",Modified streams,South Fork Tillatoba Creek Drop,5.6843418860808e-14,5.6843418860808e-14
L0130,Regulated River Modeling for Climate Change Impact Assessment: The Missouri River,2000,"Hotchkiss, RH, Jorgensen, SF, Stone, MC, Fontaine, TA",https://doi.org/10.1111/j.1752-1688.2000.tb04275.x,Journal Article,"Operations,Analysis",Hydraulics,"Hydraulic Modeling,Frequency Analysis,Regression","Watershed planning,Operations",Not Applicable,"Reservoir pool,Reservoir release",Not Applicable,Not Applicable,Not Applicable,Yes,Drought,Not Applicable,"MontaNot Applicable,North Dakota,South Dakota,Nebraska,Iowa,Kansas,Missouri",Not Applicable,"Urban,Agriculture",Regulated rivers,"Fort Peck Dam,Garrison Dam,Oahe Dam,Big Bend Dam,Fort Randall Dam,Gavins Point Dam",5.6843418860808e-14,5.6843418860808e-14
L0131,"A Dendrogeomorphic Approach to Measurement of Sedimentation in a Forested Wetland, Black Swamp, Arkansas",1990,"Hupp, CR, Morris, EE",https://doi.org/10.1007/BF03160827,Journal Article,"Reporting,Analysis","Bathymetry,Sediment","Frequency Analysis,Regression",Watershed planning,"Sand,Silt,Clay",Suspended,Yes,Yes,Yes,Not Applicable,Not Applicable,Not Applicable,Arkansas,"Land Management,Deposition control","Forestry,Wetlands,Agriculture",Alluvial fans,Black Swamp/Cache River,5.6843418860808e-14,5.6843418860808e-14
L0132,Climate Change Impacts on Iowa 2010,2010,Iowa Climate Change Advisory Council,https://ehsrc.public-health.uiowa.edu/wp-content/uploads/2019/03/Iowa_Climate_Statement_2010_complete_report.pdf,Government Report,"Planning,Reporting","Bathymetry,Water Quality,Sediment,Ecological,Public Participation,Hydraulics","Frequency Analysis,Regression","Flood risk,Economics,Watershed planning",Not Applicable,Erosion,Yes,Yes,Yes,Yes,"Flood,drought,Structure failure",Not Applicable,Iowa,Land Management,Agriculture,Not Applicable,Iowa,5.6843418860808e-14,5.6843418860808e-14
L0133,Lower White River 2009-2016 In-Channel Sediment Monitoring,2017,King County,https://your.kingcounty.gov/dnrp/library/water-and-land/flooding/white_river/PRB/11%20lower-white-r-sediment-monitoring-tech-memo-2017.pdf,Government Report,"Planning,Operations,Maintenance,Reporting","Bathymetry,Sediment",Frequency Analysis,"Flood risk,Maintenance,Operations",Gravel,"Erosion,Dredging",Not Applicable,Not Applicable,Not Applicable,Not Applicable,Flood,Volcanos,Washington,deposition control,Urban,Alluvial fans,White River,5.6843418860808e-14,5.6843418860808e-14
L0134,A Guide for Pre- and Postfire Modeling and Application In the Western United States.,2013,"Kinoshita, AM, Hogue, TS, Napper, C",https://nfsl.contentdm.oclc.org/digital/api/collection/p17053coll2/id/7274/download,Government Report,Analysis,Hydraulics,"Hydraulic Modeling,Frequency Analysis","Flood risk,Watershed planning",Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Yes,Flood,Wildfire,Western USA,Not Applicable,Not Applicable,Mountain torrents,"Andrews Creek,Arroyo Seco,Devil Canyon,Frye Creek,Bull #3,Rock Creek,Fridley,Hayman",5.6843418860808e-14,5.6843418860808e-14
L0135,"Total nutrient and sediment loads, trends, yields, and nontidal water-quality indicators for selected nontidal station, Chesapeake Bay Watershed, 1985-2011",2013,"Langland, MJ, Blomquist, JD, Moyer, DL, Hyer, KE, Chanat, JG",https://doi.org/10.3133/ofr20131052,Government Report,Reporting,"Water Quality,Sediment",Frequency Analysis,Watershed planning,Suspended,Suspended,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Eastern USA,Sediment release,Multi-use,Not Applicable,Chesapeake Bay Watershed,5.6843418860808e-14,5.6843418860808e-14
L0136,"Climatic water balance and regional fire years in the Pacific Northwest, USA: linking regional climate and fire at landscape scales",2011,"Littell, JS, Gwozdz, R",https://doi.org/10.1007/978-94-007-0301-8_5,Book,"Planning,Analysis",Hydraulics,"Frequency Analysis,Regression",Watershed planning,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Yes,Drought,Wildfire,Northwest USA,Land Management,Forestry,Not Applicable,"Washington,Oregon,Idaho,Western Montana",5.6843418860808e-14,5.6843418860808e-14
L0137,Climate and wildfire area burned in western U.S. ecoprovinces (1916-2003),2009,"Littell JS, McKenzie, D, Peterson, DL, Westerling, AL",https://doi.org/10.1890/07-1183.1,Journal Article,"Planning,Analysis",Hydraulics,"Frequency Analysis,Regression",Watershed planning,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Yes,Drought,Wildfire,Western USA,Land Management,Multi-use,Not Applicable,"Washington,Oregon,Idaho,Montana,Wyoming,Colorado,Nevada,Utah,Arizona,New Mexico,California",5.6843418860808e-14,5.6843418860808e-14
L0138,"Sediment transport and channel characteristics of a sand-bed portion of the Green River below Flaming Gorge Dam, Utah USA",1992,"Lyons, JK, Pucherelli, MJ, Clark, RC",https://doi.org/10.1002/rrr.3450070302,Journal Article,Analysis,"Sediment,Hydraulics","Frequency Analysis,Regression",Not Applicable,"Suspended,Bedload,Sand",Reservoir pool,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Utah,Dam Removal,Not Applicable,"Alluvial fans,Regulated rivers",Flaming Gorge Dam,5.6843418860808e-14,5.6843418860808e-14
L0139,"Sediment Impact Assessment for Navigation Channel Maintenance, Alabama River, Alabama, and Apalachicola River, Florida",1996,"McComas, DN, Copeland, RR",https://hdl.handle.net/11681/10806,ERDC TN,Analysis,"Sediment,Hydraulics","Frequency Analysis,Regression","Maintenance,Operations","Gravel,Sand,Silt,Suspended,Bedload","Suspended,Dredging",Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,"Alabama,Florida",Deposition control,"Forestry,Agriculture,Wetlands",Meandering rivers,"Clairborne Lock and Dam,Jim Woodruff Lock and Dam",5.6843418860808e-14,5.6843418860808e-14
L0140,"Lower Susquehanna River Watershed Assessment, Maryland and Pennsylvania",2015,USACE,https://dnr.maryland.gov/waters/bay/documents/lsrwa/reports/lsrwafinalmain20160307.pdf,Government Report,"Planning,Operations,Maintenance,Reporting,Analysis","Water Quality,Sediment,Hydraulics","Hydraulic Modeling,Sediment Transport Modeling","Watershed planning,Maintenance,Operations","Suspended,Bedload","Suspended,Erosion",Not Applicable,Not Applicable,Not Applicable,Yes,Not Applicable,Not Applicable,"Pennsylvania,Maryland","Land Management,beneficial use of dredged material,deposition control",Multi-use,Regulated rivers,"Safe Harbor Dam,Holtwood Dam,Conowingo Dam",5.6843418860808e-14,5.6843418860808e-14
L0141,"Optimization of Reach-Scale Gravel Nourishment on the Green River below Howard Hanson Dam, King County, Washington",2022,"Corum, Z, Cheng, E, Gibson, S, Dahl, T",https://dx.doi.org/10.21079/11681/43887,ERDC TN,"Planning,Construction,Operations,Analysis","Bathymetry,Sediment,Hydraulics","Sediment Transport Modeling,Frequency Analysis","Maintenance,Operations","Suspended,Bedload","Suspended,Erosion",Yes,Yes,Yes,Yes,Not Applicable,Not Applicable,Washington,"Sediment release,Deposition control",Forestry,Not Applicable,Howard A. Hanson Dam,5.6843418860808e-14,5.6843418860808e-14
L0142,"Hydrology, Hydraulics, and Sediment Studies for the Matilija Dam Ecosystem Restoration Project, Ventura, CA",2006,US Bureau of Reclamation (USBR),http://www.matilijadam.org/documents/Matilija%20H&H%20Design%20v2.pdf,Government Report,"Planning,Construction,Reporting,Analysis","Bathymetry,Water Quality,Sediment,Ecological,Hydraulics","Hydraulic Modeling,Frequency Analysis,Regression",Watershed planning,"Gravel,Sand,Suspended,Rock,Silt","Reservoir pool,Debris",Yes,Yes,Yes,Yes,Not Applicable,Not Applicable,Southern California,Dam Removal,Not Applicable,Not Applicable,"Matilija Dam,Casitas Dam",5.6843418860808e-14,5.6843418860808e-14
L0143,Precipitation-frequency atlas of the western United States,1973,"Miller, JF, Frederick, RH, Tracey, RJ",https://repository.library.noaa.gov/view/noaa/28188,Government Report,"Planning,Reporting,Analysis",Hydraulics,"Frequency Analysis,Regression","Flood risk,watershed planning",Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,"Flood,drought",Ice,Western USA,Land Management,Multi-use,Not Applicable,"Washington,Oregon,Idaho,Montana,Wyoming,Colorado,Nevada,Utah,Arizona,New Mexico,California",5.6843418860808e-14,5.6843418860808e-14
L0144,"Trends in Wildfire Severity: 1984 to 2010 in the Sierra Nevada, Modoc Plateau, and Southern Cascades, California, USA",2012,"Miller, JD, Safford, HD",https://doi.org/10.4996/fireecology.0803041,Journal Article,"Reporting,Analysis",Ecological,Frequency Analysis,Watershed planning,Not Applicable,Not Applicable,Yes,Yes,Yes,Not Applicable,Not Applicable,wildfire,California,Land Management,Forestry,Not Applicable,"Eldorado National Forest,Inyo National Forest,Lassen National Forest,Modoc National Forest,Plumas National Forest,Sequoia National Forest,Sierra National Forest,Stanislaus National Forest,Tahoe National Forest,Lake Tahoe Basin Management Unit",5.6843418860808e-14,5.6843418860808e-14
L0145,"Multi-season Climate Synchronized Forest Fires Throughout the 20th Century, Northern Rockies, USA",2008,"Morgan, P, Heyerdahl, EK, Gibson, CE",https://www.fs.usda.gov/treesearch/pubs/30689,Journal Article,"Reporting,Analysis",Not Applicable,Frequency Analysis,Watershed planning,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Yes,drought,"wildfire,Ice","MontaNot Applicable,Idaho",Land Management,Forestry,Not Applicable,"Montana (west of continental divide),Idaho",5.6843418860808e-14,5.6843418860808e-14
L0146,A study of bankfull discharges of rivers in England and Wales,1959,"Nixon, M",https://doi.org/10.1680/iicep.1959.12123,Journal Article,"Reporting,Analysis","Water Quality,Hydraulics","Hydraulic Equations,Frequency Analysis,Regression",Watershed planning,Suspended,Suspended,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Flood,Not Applicable,"England,Wales",Not Applicable,Multi-use,Not Applicable,"River Thames,River Severn,River Avon,River Mersey,River Wye,River Weaver,River Tyne,River Wallington,River Trent,River Great Ouse,River Dee",5.6843418860808e-14,5.6843418860808e-14
L0147,Bankfull discharge and sediment transport in northwestern California,1987,"Nolan, KM, Lisle, TE, Kelsy, HM",https://www.fs.usda.gov/treesearch/pubs/7887,Conference Paper,"Reporting,Analysis","Bathymetry,Sediment,Hydraulics",Frequency Analysis,Watershed planning,"Suspended,Bedload",Erosion,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Flood,Not Applicable,Northern California,Deposition Control,Forestry,Deltas,"Black Butte River,Eel River,Van Duzen River,Redwood Creek,Trinity River",5.6843418860808e-14,5.6843418860808e-14
L0148,Spatial variability in wildfire probability across the western United States,2012,"Parisien, MA, Snetsinger, S, Greenberg, JA, Nelson, CR, Schoennagel, T, Dobrowski, SZ, Moritz, MA",https://doi.org/10.1071/WF11044,Journal Article,"Reporting,Analysis","Ecological,Hydraulics",Frequency Analysis,Watershed planning,Not Applicable,Not Applicable,Yes,Yes,Yes,Yes,Not Applicable,wildfire,Western USA,Land Management,"Urban,forestry",Not Applicable,"Washington,Oregon,Idaho,Montana,Wyoming,Colorado,Nevada,Utah,Arizona,New Mexico,California",5.6843418860808e-14,5.6843418860808e-14
L0149,Chapter 18: Midwest. Climate Change Impacts in the United States: The Third National Climate Assessment,2014,"Pryor, SC, Scavia, D, Downer, C, Gaden, M, Iverson, L, Nordstrom, R, Patz, J, Robertson, GP",https://doi.org/10.7930/J0J1012N,Government Report,Reporting,"Water Quality,Ecological,Hydraulics","Frequency Analysis,Regression","Flood risk,economics,watershed planning",Suspended,Erosion,Yes,Yes,Yes,Yes,"Flood,drought",Ice,"Midwest USA,Great Lakes USA","Sediment release,Land Management","Forestry,Beach,Agriculture",Not Applicable,"Minnesota,Iowa,Missouri,Wisconsin,Illinois,Indiana,Michigan,Ohio",5.6843418860808e-14,5.6843418860808e-14
L0150,"Hydrology of Hungry Horse Reservoir, Northwestern Montana",1971,"Simons, WD, Rorabaugh, MI",https://doi.org/10.3133/pp682,Government Report,"Operations,Reporting,Analysis",Hydraulics,"Hydraulic Equations,Hydraulic Modeling,Frequency Analysis,Regression",Operations,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Yes,"Flood,drought",Not Applicable,MontaNot Applicable,"Flood diversion,Land Management",Not Applicable,Regulated Rivers,Hungry Horse Dam,5.6843418860808e-14,5.6843418860808e-14
L0151,The magnitude and frequency characteristics of fluvial transport in the Devon drainage basin and some geomorphological implications,1982,"Webb, BW, Walling, DE",https://doi.org/10.1016/S0341-8162(82)80002-7,Journal Article,"Reporting,Analysis","Water Quality,Sediment,Hydraulics","Frequency Analysis,Regression",Watershed planning,Suspended,Suspended,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,England,Sediment release,Agriculture,Not Applicable,River Creedy,5.6843418860808e-14,5.6843418860808e-14
L0152,"Potential for debris flow and debris flood along the Wasatch Front between Salt Lake City and Willard, Utah, and measures for their mitigation",1983,"Wieczorek, GF, Ellen, S, Lips, WW, Cannon, SH, Short, DN",https://doi.org/10.3133/ofr83635,Government Report,"Design,Reporting","Sediment,Hydraulics",Regression,Flood risk,"Suspended,Bedload","Bank erosion,erosion",Not Applicable,Not Applicable,Not Applicable,Yes,Flood,"Debris flow,landslide,Ice",Utah,"Sediment release,Land Management,Flood diversion",Urban,"Mountain torrents,Alluvial fans","City Creek,Mill Creek,Kenney Creek,Holbrook Canyon",5.6843418860808e-14,5.6843418860808e-14
L0153,"The natural channel of Brandywine Creek, Pennsylvania, U.S",1955,"Wolman, MG",https://pubs.usgs.gov/pp/0271/report.pdf,Government Report,"Reporting,Analysis","Bathymetry,Water Quality,Sediment,Hydraulics","Hydraulic Equations,Regression",Watershed planning,"Gravel,Suspended,Silt",Suspended,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,"Pennsylvania,Delaware","Sediment release,Deposition control",Not Applicable,Not Applicable,Brandywine Creek,5.6843418860808e-14,5.6843418860808e-14
L0154,Variation in suspended sediment yield across the UK - A failure of the concept and interpretation of the sediment delivery ratio,2014,"Worrall, F, Burt, TF,  Howden, NJK, Hancock, GR",https://doi.org/10.1016/j.jhydrol.2014.09.066,Journal Article,"Reporting,Analysis","Bathymetry,Water Quality,Sediment,Hydraulics",Regression,Watershed planning,"Suspended,Bedload","Bank erosion,Suspended,Erosion",Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,United Kingdom,"Sediment Release,Land Management,Deposition Control",Multi-use,Not Applicable,United Kingdom watersheds,5.6843418860808e-14,5.6843418860808e-14
L0155,"Shoreline Erosion Process, Lake Sakakaea",1991,"Dorough, WG, Ried, JR",https://babel.hathitrust.org/cgi/pt?id=umn.31951d00521601d&seq=459,Conference Paper,"Reporting,Analysis","Bathymetry,Sediment","Frequency Analysis,Regression",Not Applicable,Gravel,Bank erosion,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Ice,North Dakota,"Sediment Release,Land Management","Upland,Beach",Not Applicable,Garrison Dam,5.6843418860808e-14,5.6843418860808e-14
L0156,Erodibility Study of Passaic River Sediments Using USACE SEDflume,2006,"Borrowman, TD, Smith, ER, Gailani, JZ, Caviness, L",https://hdl.handle.net/11681/8498,ERDC TN,"Reporting,Analysis",Sediment,Laboratory Analysis,Not Applicable,Cohesive,Erosion,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,New Jersey,Sediment Release,"Urban,Wetlands",Not Applicable,Passaic River,5.6843418860808e-14,5.6843418860808e-14
L0157,Process-based model linking pocket gopher (Thomomys bottae) activity to sediment transport and soil thickness,2005,"Yoo, K, Amundson, R,  Meimsath, AM, Dietrich, WE",https://doi.org/10.1130/G21831.1,Journal Article,Analysis,"Sediment,Ecological","Ecological Modeling,Sediment Transport Modeling,Regression",Watershed planning,Not Applicable,"Bank erosion,Erosion",Yes,Yes,Yes,Not Applicable,Not Applicable,Not Applicable,California,"Sediment Release,Land Management",Not Applicable,Not Applicable,California hillslopes,5.6843418860808e-14,5.6843418860808e-14
L0158,Alluvial Fan Flooding,1996,NRC,https://doi.org/10.17226/5364,Book,"Planning,Reporting","Bathymetry,Sediment,Hydraulics",Not Applicable,"Flood risk,economics",Not Applicable,"Debris,Erosion",Not Applicable,Not Applicable,Not Applicable,Not Applicable,Flood,"Debris flow,Landslide","ArizoNot Applicable,California,Utah","Sediment Release,Land Management,Deposition Control",Not Applicable,Alluvial fans,"Henderson Canyon,Thousand Palms Wash,Lytle Creek,Tortolita Mountains,Carefree, Arizona,Rudd Creek,Hat Creek,Davis Creek,Nelson Run,Tijuana River",5.6843418860808e-14,5.6843418860808e-14
